issuer,issuer_address,phone,invoice_n,date,billed_to,billing_address,data,total,bank_name,account_n,support_email
Ray Inc,"752 Johnson Spur Apt. 634
South Thomasstad, NC 48695",001-201-413-4827x68545,62249806,"21 August, 2022",Rose Inc,"52026 Cameron Walks
East Angela, FL 30436","[[1, 'Expanded 4thgeneration software', '$291.00', '$582.00'], [2, 'User-centric executive hardware', '$775.00', '$775.00'], [3, 'Enterprise-wide 4thgeneration time-frame', '$603.00', '$603.00']]",1960.0,Bank of America,0123 4567 8901,support@reallygreatsite.com
"Pearson, Griffin and Poole","395 Anne Field Suite 353
East Christopher, OR 17051",323.262.4299x74066,19259665,"30 May, 2018",Cross-Miller,"3650 Boyle Union
South Michael, MS 51821","[[1, 'Digitized systemic encoding', '$716.00', '$1432.00'], [2, 'Adaptive 3rdgeneration capability', '$266.00', '$266.00'], [3, 'Persevering coherent algorithm', '$465.00', '$465.00'], [4, 'Multi-channeled 4thgeneration monitoring', '$192.00', '$384.00'], [5, 'Monitored intangible moderator', '$208.00', '$208.00']]",2755.0,Bank of America,0123 4567 8901,support@reallygreatsite.com
Cox-Singleton,"104 Rachel Overpass Apt. 770
New Jeffrey, CT 18432",001-388-236-5475x77007,85696190,"07 August, 2018",Moon-Berry,"907 Amy Highway
Patrickville, IA 48640","[[1, 'Optimized zero administration encoding', '$687.00', '$687.00'], [2, 'Devolved national algorithm', '$284.00', '$284.00'], [3, 'Customizable system-worthy archive', '$361.00', '$722.00'], [4, 'Adaptive background open system', '$879.00', '$879.00'], [5, 'Configurable coherent infrastructure', '$521.00', '$521.00']]",3093.0,Bank of America,0123 4567 8901,support@reallygreatsite.com
Carter-Brady,"00880 Flores Terrace Apt. 334
Farleyhaven, WI 54938",462.302.2894x4571,67716464,"15 April, 2021",Stevens Group,"7722 Melissa Trafficway
South Anne, MT 81539","[[1, 'Multi-channeled zero tolerance info-mediaries', '$132.00', '$132.00'], [2, 'Vision-oriented methodical algorithm', '$512.00', '$1024.00']]",1156.0,Bank of America,0123 4567 8901,support@reallygreatsite.com
Gomez Ltd,"PSC 7759, Box 2922
APO AE 08958",903.182.8989,86700318,"02 May, 2021",Fowler-Farrell,"490 Steven Mountain
North Johntown, DE 98671","[[1, 'Organized methodical solution', '$671.00', '$1342.00'], [2, 'Advanced responsive firmware', '$865.00', '$865.00'], [3, 'Up-sized directional middleware', '$762.00', '$762.00'], [4, 'Inverse attitude-oriented archive', '$942.00', '$942.00'], [5, 'Compatible user-facing workforce', '$594.00', '$1188.00']]",5099.0,Bank of America,0123 4567 8901,support@reallygreatsite.com
Wright and Sons,"1652 Peter Summit Apt. 425
Erichaven, NH 74910",001-586-514-4594x83429,20397787,"13 June, 2019","Stevenson, Fox and Harris","940 Harvey Ranch Apt. 747
East Katieville, AR 90320","[[1, 'Integrated cohesive application', '$602.00', '$602.00'], [2, 'Assimilated multimedia concept', '$244.00', '$488.00']]",1090.0,Bank of America,0123 4567 8901,support@reallygreatsite.com
"Perry, Kelly and Hughes","124 Smith Junctions Suite 887
Lake Dale, NJ 23756",001-566-348-2287x333,93744385,"18 May, 2019",Roman-Diaz,"Unit 0143 Box 6528
DPO AP 85333","[[1, 'Pre-emptive tangible protocol', '$443.00', '$443.00'], [2, 'Multi-channeled scalable toolset', '$140.00', '$280.00']]",723.0,Bank of America,0123 4567 8901,support@reallygreatsite.com
"Moss, Mann and Curry","680 Laura Lodge
West Deborahton, IL 94081",(876)546-6553,56172790,"27 April, 2020",Burton LLC,"Unit 1594 Box 1787
DPO AA 41644","[[1, 'Open-architected uniform support', '$594.00', '$1188.00'], [2, 'Right-sized scalable secured line', '$239.00', '$478.00'], [3, 'Sharable executive encryption', '$663.00', '$1326.00'], [4, 'Customer-focused analyzing concept', '$120.00', '$120.00']]",3112.0,Bank of America,0123 4567 8901,support@reallygreatsite.com
Avery-Black,"99692 Jessica Vista
Cummingsfurt, AS 70565",+1-573-710-1419,15395844,"31 March, 2021","Richards, Taylor and Cervantes","76546 Matthews Branch Suite 311
Anthonyburgh, FM 52367","[[1, 'Synergistic solution-oriented model', '$897.00', '$1794.00'], [2, 'Public-key reciprocal open architecture', '$744.00', '$744.00'], [3, 'Function-based mission-critical architecture', '$712.00', '$1424.00'], [4, 'Streamlined solution-oriented customer loyalty', '$235.00', '$470.00'], [5, 'Organized clear-thinking portal', '$628.00', '$1256.00']]",5688.0,Bank of America,0123 4567 8901,support@reallygreatsite.com
"Jones, Mcknight and Barrera","27408 Page Vista
Nicholsonville, AS 32859",839-297-0752x5668,52802844,"26 July, 2020",Cook-Mercado,"5230 Emily Plaza
Port Jamesside, DC 36124","[[1, 'Object-based neutral orchestration', '$560.00', '$560.00'], [2, 'Automated needs-based orchestration', '$468.00', '$468.00'], [3, 'Public-key multimedia concept', '$913.00', '$913.00'], [4, 'Persevering multimedia time-frame', '$156.00', '$156.00']]",2097.0,Bank of America,0123 4567 8901,support@reallygreatsite.com
Garcia Group,"328 William Rest
Kingtown, FL 07318",(004)171-1556x12724,86726743,"11 September, 2022",Barber and Sons,"009 Abigail Drive
East Alexishaven, HI 72398","[[1, 'Focused actuating open architecture', '$547.00', '$547.00']]",547.0,Bank of America,0123 4567 8901,support@reallygreatsite.com
Lewis LLC,"4885 Anthony Brooks
New Kimberlyhaven, ND 02380",064-309-5667x5389,82904473,"06 September, 2021",Brown Inc,"4084 Wang Ford
Brownchester, MN 12244","[[1, 'Inverse motivating projection', '$246.00', '$246.00'], [2, 'Up-sized multimedia Graphic Interface', '$468.00', '$936.00'], [3, 'Open-source responsive service-desk', '$167.00', '$334.00'], [4, 'Re-contextualized responsive circuit', '$414.00', '$828.00']]",2344.0,Bank of America,0123 4567 8901,support@reallygreatsite.com
"Gardner, Hunt and Jackson","10429 Laura Haven
Hansonbury, WV 79354",(029)828-9861x52170,36958804,"05 February, 2021",Powers LLC,"0584 Nicole Plains
Kimshire, IA 67591","[[1, 'Business-focused zero tolerance Internet solution', '$798.00', '$798.00']]",798.0,Bank of America,0123 4567 8901,support@reallygreatsite.com
Gilbert Group,"5846 Rojas Isle
Markland, PR 18835",104-235-1756x513,47452937,"24 April, 2019",Rollins Group,"Unit 6563 Box 3240
DPO AA 59719","[[1, 'Versatile transitional info-mediaries', '$178.00', '$356.00'], [2, 'Horizontal foreground product', '$730.00', '$730.00'], [3, 'Balanced explicit workforce', '$169.00', '$338.00'], [4, 'Persevering system-worthy throughput', '$788.00', '$788.00']]",2212.0,Bank of America,0123 4567 8901,support@reallygreatsite.com
Glover LLC,"0219 Rebekah Locks
Markchester, KY 39331",(402)854-6987x68900,55339997,"30 November, 2018",Brewer Ltd,"2064 Melissa Ridges
Lake Derrickland, GA 30409","[[1, 'Multi-lateral even-keeled capacity', '$757.00', '$757.00']]",757.0,Bank of America,0123 4567 8901,support@reallygreatsite.com
"Shaw, Pacheco and Mendez","861 George Manors
Martinezchester, MT 36496",001-419-530-9168x7211,72435333,"27 March, 2022","Hughes, Larson and Lyons","107 Anna Corners
New Glenmouth, OH 04517","[[1, 'Multi-layered 24/7 complexity', '$407.00', '$814.00'], [2, 'Compatible non-volatile alliance', '$535.00', '$1070.00']]",1884.0,Bank of America,0123 4567 8901,support@reallygreatsite.com
Travis Group,"2634 Smith Ridge
North Brendamouth, MI 63382",653.749.7904,62434640,"12 July, 2021",Smith-Carroll,"237 Robertson Drive
Lindaville, CT 60154","[[1, 'Virtual zero-defect benchmark', '$899.00', '$1798.00'], [2, 'Switchable exuding array', '$109.00', '$218.00'], [3, 'Monitored multi-state middleware', '$866.00', '$866.00']]",2882.0,Bank of America,0123 4567 8901,support@reallygreatsite.com
Walters-Logan,"0365 Rachel Mill Suite 118
Harrellfurt, FL 04388",4288794533,81556704,"03 July, 2021",Stone-Graves,"774 Scott Unions
Robertfurt, CO 42832","[[1, 'Proactive real-time workforce', '$219.00', '$438.00'], [2, 'Profound high-level synergy', '$266.00', '$266.00'], [3, 'Object-based empowering open system', '$572.00', '$572.00'], [4, 'Realigned systemic archive', '$483.00', '$483.00']]",1759.0,Bank of America,0123 4567 8901,support@reallygreatsite.com
"Holmes, Pena and Escobar","80350 Baker Coves Suite 978
Richardsmouth, WA 22413",0586554109,16657388,"28 January, 2019",Dalton and Sons,"0866 Paige Squares
North Jesseland, DC 62713","[[1, 'Ameliorated discrete circuit', '$733.00', '$733.00'], [2, 'Innovative intangible matrices', '$350.00', '$700.00']]",1433.0,Bank of America,0123 4567 8901,support@reallygreatsite.com
"Gaines, Evans and Barrera","19017 Nicole Row
West Laurie, MN 74194",637.794.4382x04224,10624738,"24 April, 2021",Flores Ltd,"929 Dave Ridge Apt. 066
Leetown, MN 90130","[[1, 'Stand-alone 5thgeneration pricing structure', '$561.00', '$561.00'], [2, 'Implemented scalable capacity', '$192.00', '$384.00'], [3, 'Re-contextualized global process improvement', '$719.00', '$719.00'], [4, 'Devolved actuating core', '$695.00', '$1390.00']]",3054.0,Bank of America,0123 4567 8901,support@reallygreatsite.com
Brown-Hernandez,"627 Tracy Divide
East Ryanport, NC 44729",814-218-0923,45094951,"02 September, 2019",Robertson PLC,"495 Richard Plains Suite 601
Williamsfort, MA 93404","[[1, 'Re-contextualized optimizing neural-net', '$332.00', '$664.00'], [2, 'Vision-oriented cohesive website', '$294.00', '$588.00']]",1252.0,Bank of America,0123 4567 8901,support@reallygreatsite.com
Velasquez Group,"89286 Smith Harbor Suite 214
Port Troybury, FM 52795",001-968-429-8561,69963098,"11 April, 2018","Curtis, Mann and Blanchard","160 Coleman Mission
Lake Shawna, DE 59717","[[1, 'Ergonomic maximized Local Area Network', '$596.00', '$1192.00'], [2, 'Organized attitude-oriented portal', '$863.00', '$863.00'], [3, 'Vision-oriented local parallelism', '$303.00', '$606.00'], [4, 'User-friendly discrete moratorium', '$192.00', '$384.00'], [5, 'Implemented object-oriented hub', '$406.00', '$406.00']]",3451.0,Bank of America,0123 4567 8901,support@reallygreatsite.com
Sloan and Sons,"95894 Matthew Shoals
North Karen, VA 73745",789.449.4224x10623,12231295,"26 March, 2021",Flores-Brown,"984 Jerry Parks Apt. 208
Amandaport, LA 84556","[[1, 'Reduced object-oriented structure', '$714.00', '$1428.00']]",1428.0,Bank of America,0123 4567 8901,support@reallygreatsite.com
"Stone, Allen and Jordan","357 Duncan Drive
Mariashire, ND 26750",001-869-559-7151x9504,84130910,"19 December, 2019",Lopez Group,"457 Perez Walk
East Davidbury, CO 26680","[[1, 'Compatible solution-oriented knowledgebase', '$709.00', '$709.00'], [2, 'Versatile real-time Local Area Network', '$746.00', '$746.00'], [3, 'Adaptive multimedia hub', '$884.00', '$1768.00']]",3223.0,Bank of America,0123 4567 8901,support@reallygreatsite.com
"Martinez, Dean and White","22241 Timothy Glen Suite 488
Derekberg, PA 43207",397-502-2128x926,51656458,"23 May, 2022",Roach-Thomas,"948 Sherri Corners
Terrimouth, MA 36385","[[1, 'Visionary mission-critical architecture', '$373.00', '$373.00'], [2, 'Horizontal zero administration core', '$173.00', '$346.00'], [3, 'Sharable didactic time-frame', '$162.00', '$162.00'], [4, 'Cloned secondary productivity', '$954.00', '$1908.00']]",2789.0,Bank of America,0123 4567 8901,support@reallygreatsite.com
Garcia Inc,"97933 Crosby Way
Robertshire, IN 04719",326-917-6015x1518,60152905,"23 November, 2018",Hall-Williams,"89642 Rachel Mill
Port Roberto, ID 32658","[[1, 'Digitized fault-tolerant product', '$468.00', '$936.00'], [2, 'Self-enabling cohesive alliance', '$391.00', '$782.00'], [3, 'Integrated multimedia protocol', '$897.00', '$897.00'], [4, 'Profound bottom-line Internet solution', '$406.00', '$406.00']]",3021.0,Bank of America,0123 4567 8901,support@reallygreatsite.com
Humphrey-Burgess,"872 May Shore Suite 431
Vanceborough, MS 85872",(414)599-0657,79325606,"06 October, 2021","Stokes, Thompson and Gonzalez","8416 Edgar Neck Suite 880
West Jaredville, KY 27998","[[1, 'Multi-layered 24/7 budgetary management', '$930.00', '$1860.00'], [2, 'Balanced regional access', '$785.00', '$1570.00']]",3430.0,Bank of America,0123 4567 8901,support@reallygreatsite.com
Jones and Sons,"548 Rodriguez Expressway
Gonzalezborough, IL 85808",001-233-390-9813x201,11095477,"26 February, 2019",Hayes and Sons,"PSC 9326, Box 0022
APO AP 38677","[[1, 'Digitized executive emulation', '$352.00', '$352.00']]",352.0,Bank of America,0123 4567 8901,support@reallygreatsite.com
Robinson-Duncan,"3856 Michelle Crescent
East Howardberg, HI 80593",6385857220,27260647,"14 March, 2020",Green-Taylor,"USCGC Jimenez
FPO AA 62740","[[1, 'Decentralized national capacity', '$847.00', '$847.00']]",847.0,Bank of America,0123 4567 8901,support@reallygreatsite.com
Moreno Ltd,"40366 Aguilar Lane
Port Sarah, TX 01256",(346)147-2477x635,51285748,"12 November, 2019",Bryant-Petty,"4126 Williamson Shores Suite 991
South Elizabethmouth, MS 34196","[[1, 'Seamless asynchronous workforce', '$137.00', '$137.00'], [2, 'Up-sized cohesive Internet solution', '$846.00', '$846.00']]",983.0,Bank of America,0123 4567 8901,support@reallygreatsite.com
Chandler Ltd,"09064 Michael Tunnel
New Claudiashire, MI 68584",257.017.4459,28558030,"09 February, 2023",Hensley-Stewart,"87063 John Island
West Williamland, PR 25826","[[1, 'Self-enabling impactful adapter', '$500.00', '$1000.00'], [2, 'Diverse multimedia structure', '$324.00', '$324.00']]",1324.0,Bank of America,0123 4567 8901,support@reallygreatsite.com
"Brown, Harmon and Anderson","23354 Anderson Skyway
Johnsonmouth, MS 15152",112.158.6551,99093568,"23 August, 2019",White-Espinoza,"PSC 2330, Box 1081
APO AE 72239","[[1, 'Multi-layered user-facing policy', '$775.00', '$775.00'], [2, 'Profit-focused well-modulated pricing structure', '$529.00', '$529.00'], [3, 'Robust zero administration frame', '$477.00', '$954.00']]",2258.0,Bank of America,0123 4567 8901,support@reallygreatsite.com
Stephens-Case,"57977 Mcmillan Mountain Apt. 167
Ramirezfort, SD 53437",189-600-2282x46832,40315655,"30 August, 2021",Carey-Phillips,"065 Wiggins Coves
Lake Samuelshire, NY 49171","[[1, 'Pre-emptive client-server secured line', '$567.00', '$1134.00'], [2, 'Intuitive regional pricing structure', '$844.00', '$844.00'], [3, 'Face-to-face bandwidth-monitored Graphic Interface', '$857.00', '$857.00']]",2835.0,Bank of America,0123 4567 8901,support@reallygreatsite.com
"Bailey, Brown and James","USCGC Harris
FPO AP 03455",(195)027-8068,99870415,"06 September, 2018",Henderson Ltd,"101 Leblanc Views
East Amy, NJ 42795","[[1, 'Quality-focused optimal model', '$306.00', '$612.00'], [2, 'Function-based logistical contingency', '$441.00', '$882.00']]",1494.0,Bank of America,0123 4567 8901,support@reallygreatsite.com
Clarke-Cantrell,"84842 Cox Dale
New Donnaberg, HI 44392",001-813-121-1050x21437,70333339,"20 January, 2019",Frazier PLC,"3148 Maria Coves Suite 239
Lake Andrewberg, ME 20219","[[1, 'Team-oriented neutral budgetary management', '$905.00', '$905.00'], [2, 'Balanced static concept', '$985.00', '$985.00'], [3, 'Networked zero tolerance open system', '$547.00', '$1094.00'], [4, 'Monitored solution-oriented architecture', '$133.00', '$266.00']]",3250.0,Bank of America,0123 4567 8901,support@reallygreatsite.com
"Robinson, Baker and Martin","17131 Eric Wall Suite 492
Bellside, NY 65265",001-669-090-4713,72615991,"04 November, 2020","Griffith, Bryant and Rivera","389 Hanson Stream Suite 800
East Michaelton, MP 69382","[[1, 'Reactive background matrix', '$916.00', '$1832.00']]",1832.0,Bank of America,0123 4567 8901,support@reallygreatsite.com
Young-Guerrero,"64529 Steven Circle Apt. 772
Hortonville, IL 83237",032-548-9391,43541332,"19 December, 2019","Larson, Peterson and Craig","008 Rice Extensions Suite 515
Kellyshire, UT 03463","[[1, 'Cross-platform 5thgeneration artificial intelligence', '$709.00', '$1418.00'], [2, 'Monitored encompassing budgetary management', '$655.00', '$655.00'], [3, 'User-centric empowering conglomeration', '$129.00', '$129.00'], [4, 'Object-based static orchestration', '$731.00', '$1462.00'], [5, 'Public-key contextually-based adapter', '$262.00', '$524.00']]",4188.0,Bank of America,0123 4567 8901,support@reallygreatsite.com
"King, Cooke and Morse","31328 Alvarez Loaf Suite 868
Kaufmanland, NM 99036",+1-180-966-3031x569,59299986,"28 December, 2021",Rodriguez PLC,"30979 Christina Dale Suite 782
Conleyton, MH 22427","[[1, 'User-centric full-range throughput', '$598.00', '$598.00'], [2, 'Automated multi-state adapter', '$932.00', '$932.00'], [3, 'Visionary bandwidth-monitored adapter', '$162.00', '$162.00'], [4, 'Profound discrete conglomeration', '$682.00', '$682.00']]",2374.0,Bank of America,0123 4567 8901,support@reallygreatsite.com
"Beck, Brown and Moore","PSC 4811, Box 3853
APO AA 71556",001-612-228-4375x2248,43752040,"12 July, 2022",Morris-Herrera,"1550 Munoz Turnpike
North Tylerchester, AZ 03415","[[1, 'Re-engineered next generation firmware', '$369.00', '$738.00']]",738.0,Bank of America,0123 4567 8901,support@reallygreatsite.com
